name,ticker,date,price,shares,market_cap
원익IPS,240810,2020-01-13,35450,49083901.0,1740024290450.0
원익IPS,240810,2020-01-14,35850,49083901.0,1759657850850.0
원익IPS,240810,2020-01-15,36250,49083901.0,1779291411250.0
원익IPS,240810,2020-01-16,37900,49083901.0,1860279847900.0
원익IPS,240810,2020-01-17,37500,49083901.0,1840646287500.0
원익IPS,240810,2020-01-20,37450,49083901.0,1838192092450.0
원익IPS,240810,2020-01-21,36950,49083901.0,1813650141950.0
원익IPS,240810,2020-01-22,38150,49083901.0,1872550823150.0
원익IPS,240810,2020-01-23,37300,49083901.0,1830829507300.0
원익IPS,240810,2020-01-28,35900,49083901.0,1762112045900.0
원익IPS,240810,2020-01-29,35850,49083901.0,1759657850850.0
원익IPS,240810,2020-01-30,34850,49083901.0,1710573949850.0
원익IPS,240810,2020-01-31,34350,49083901.0,1686031999350.0
원익IPS,240810,2020-02-03,34850,49083901.0,1710573949850.0
원익IPS,240810,2020-02-04,35400,49083901.0,1737570095400.0
원익IPS,240810,2020-02-05,35850,49083901.0,1759657850850.0
원익IPS,240810,2020-02-06,36050,49083901.0,1769474631050.0
원익IPS,240810,2020-02-07,34900,49083901.0,1713028144900.0
원익IPS,240810,2020-02-10,34700,49083901.0,1703211364700.0
원익IPS,240810,2020-02-11,34850,49083901.0,1710573949850.0
원익IPS,240810,2020-02-12,35850,49083901.0,1759657850850.0
원익IPS,240810,2020-02-13,35550,49083901.0,1744932680550.0
원익IPS,240810,2020-02-14,36800,49083901.0,1806287556800.0
원익IPS,240810,2020-02-17,36650,49083901.0,1798924971650.0
원익IPS,240810,2020-02-18,35300,49083901.0,1732661705300.0
원익IPS,240810,2020-02-19,35700,49083901.0,1752295265700.0
원익IPS,240810,2020-02-20,35650,49083901.0,1749841070650.0
원익IPS,240810,2020-02-21,34800,49083901.0,1708119754800.0
원익IPS,240810,2020-02-24,33350,49083901.0,1636948098350.0
원익IPS,240810,2020-02-25,35400,49083901.0,1737570095400.0
원익IPS,240810,2020-02-26,34400,49083901.0,1688486194400.0
원익IPS,240810,2020-02-27,32900,49083901.0,1614860342900.0
원익IPS,240810,2020-02-28,31150,49083901.0,1528963516150.0
원익IPS,240810,2020-03-02,33550,49083901.0,1646764878550.0
원익IPS,240810,2020-03-03,32700,49083901.0,1605043562700.0
원익IPS,240810,2020-03-04,33800,49083901.0,1659035853800.0
원익IPS,240810,2020-03-05,34000,49083901.0,1668852634000.0
원익IPS,240810,2020-03-06,33000,49083901.0,1619768733000.0
원익IPS,240810,2020-03-09,31300,49083901.0,1536326101300.0
원익IPS,240810,2020-03-10,31950,49083901.0,1568230636950.0
원익IPS,240810,2020-03-11,30650,49083901.0,1504421565650.0
원익IPS,240810,2020-03-12,28300,49083901.0,1389074398300.0
원익IPS,240810,2020-03-13,26500,49083901.0,1300723376500.0
원익IPS,240810,2020-03-16,25850,49083901.0,1268818840850.0
원익IPS,240810,2020-03-17,26400,49083901.0,1295814986400.0
원익IPS,240810,2020-03-18,24300,49083901.0,1192738794300.0
원익IPS,240810,2020-03-19,20200,49083901.0,991494800200.0
원익IPS,240810,2020-03-20,21650,49083901.0,1062666456650.0
원익IPS,240810,2020-03-23,19650,49083901.0,964498654650.0
원익IPS,240810,2020-03-24,23200,49083901.0,1138746503200.0
원익IPS,240810,2020-03-25,24350,49083901.0,1195192989350.0
원익IPS,240810,2020-03-26,24550,49083901.0,1205009769550.0
원익IPS,240810,2020-03-27,24900,49083901.0,1222189134900.0
원익IPS,240810,2020-03-30,25100,49083901.0,1232005915100.0
원익IPS,240810,2020-03-31,24950,49083901.0,1224643329950.0
원익IPS,240810,2020-04-01,23700,49083901.0,1163288453700.0
원익IPS,240810,2020-04-02,24500,49083901.0,1202555574500.0
원익IPS,240810,2020-04-03,24250,49083901.0,1190284599250.0
원익IPS,240810,2020-04-06,26650,49083901.0,1308085961650.0
원익IPS,240810,2020-04-07,28200,49083901.0,1384166008200.0
원익IPS,240810,2020-04-08,27750,49083901.0,1362078252750.0
원익IPS,240810,2020-04-09,27650,49083901.0,1357169862650.0
원익IPS,240810,2020-04-10,27200,49083901.0,1335082107200.0
원익IPS,240810,2020-04-13,25900,49083901.0,1271273035900.0
원익IPS,240810,2020-04-14,26850,49083901.0,1317902741850.0
원익IPS,240810,2020-04-16,27350,49083901.0,1342444692350.0
원익IPS,240810,2020-04-17,28400,49083901.0,1393982788400.0
원익IPS,240810,2020-04-20,28550,49083901.0,1401345373550.0
원익IPS,240810,2020-04-21,28700,49083901.0,1408707958700.0
원익IPS,240810,2020-04-22,28600,49083901.0,1403799568600.0
원익IPS,240810,2020-04-23,28350,49083901.0,1391528593350.0
원익IPS,240810,2020-04-24,27400,49083901.0,1344898887400.0
원익IPS,240810,2020-04-27,27650,49083901.0,1357169862650.0
원익IPS,240810,2020-04-28,27300,49083901.0,1339990497300.0
원익IPS,240810,2020-04-29,27850,49083901.0,1366986642850.0
원익IPS,240810,2020-05-04,28100,49083901.0,1379257618100.0
원익IPS,240810,2020-05-06,30750,49083901.0,1509329955750.0
원익IPS,240810,2020-05-07,31500,49083901.0,1546142881500.0
원익IPS,240810,2020-05-08,32300,49083901.0,1585410002300.0
원익IPS,240810,2020-05-11,32050,49083901.0,1573139027050.0
원익IPS,240810,2020-05-12,33150,49083901.0,1627131318150.0
원익IPS,240810,2020-05-13,32650,49083901.0,1602589367650.0
원익IPS,240810,2020-05-14,32250,49083901.0,1582955807250.0
원익IPS,240810,2020-05-15,32700,49083901.0,1605043562700.0
원익IPS,240810,2020-05-18,32800,49083901.0,1609951952800.0
원익IPS,240810,2020-05-19,34200,49083901.0,1678669414200.0
원익IPS,240810,2020-05-20,34950,49083901.0,1715482339950.0
원익IPS,240810,2020-05-21,34300,49083901.0,1683577804300.0
원익IPS,240810,2020-05-22,34300,49083901.0,1683577804300.0
원익IPS,240810,2020-05-25,35050,49083901.0,1720390730050.0
원익IPS,240810,2020-05-26,34700,49083901.0,1703211364700.0
원익IPS,240810,2020-05-27,33000,49083901.0,1619768733000.0
원익IPS,240810,2020-05-28,32250,49083901.0,1582955807250.0
원익IPS,240810,2020-05-29,32500,49083901.0,1595226782500.0
원익IPS,240810,2020-06-01,34400,49083901.0,1688486194400.0
원익IPS,240810,2020-06-02,34200,49083901.0,1678669414200.0
원익IPS,240810,2020-06-03,34200,49083901.0,1678669414200.0
원익IPS,240810,2020-06-04,34000,49083901.0,1668852634000.0
원익IPS,240810,2020-06-05,34300,49083901.0,1683577804300.0
원익IPS,240810,2020-06-08,34100,49083901.0,1673761024100.0
원익IPS,240810,2020-06-09,33850,49083901.0,1661490048850.0
원익IPS,240810,2020-06-10,35000,49083901.0,1717936535000.0
원익IPS,240810,2020-06-11,34350,49083901.0,1686031999350.0
원익IPS,240810,2020-06-12,33000,49083901.0,1619768733000.0
원익IPS,240810,2020-06-15,30300,49083901.0,1487242200300.0
원익IPS,240810,2020-06-16,33700,49083901.0,1654127463700.0
원익IPS,240810,2020-06-17,33800,49083901.0,1659035853800.0
원익IPS,240810,2020-06-18,33450,49083901.0,1641856488450.0
원익IPS,240810,2020-06-19,33100,49083901.0,1624677123100.0
원익IPS,240810,2020-06-22,33750,49083901.0,1656581658750.0
원익IPS,240810,2020-06-23,33750,49083901.0,1656581658750.0
원익IPS,240810,2020-06-24,35150,49083901.0,1725299120150.0
원익IPS,240810,2020-06-25,34550,49083901.0,1695848779550.0
원익IPS,240810,2020-06-26,36250,49083901.0,1779291411250.0
원익IPS,240810,2020-06-29,34800,49083901.0,1708119754800.0
원익IPS,240810,2020-06-30,35650,49083901.0,1749841070650.0
원익IPS,240810,2020-07-01,34650,49083901.0,1700757169650.0
원익IPS,240810,2020-07-02,34250,49083901.0,1681123609250.0
원익IPS,240810,2020-07-03,34650,49083901.0,1700757169650.0
원익IPS,240810,2020-07-06,35050,49083901.0,1720390730050.0
원익IPS,240810,2020-07-07,34800,49083901.0,1708119754800.0
원익IPS,240810,2020-07-08,34300,49083901.0,1683577804300.0
원익IPS,240810,2020-07-09,34500,49083901.0,1693394584500.0
원익IPS,240810,2020-07-10,34800,49083901.0,1708119754800.0
원익IPS,240810,2020-07-13,34750,49083901.0,1705665559750.0
원익IPS,240810,2020-07-14,33650,49083901.0,1651673268650.0
원익IPS,240810,2020-07-15,33700,49083901.0,1654127463700.0
원익IPS,240810,2020-07-16,33050,49083901.0,1622222928050.0
원익IPS,240810,2020-07-17,33300,49083901.0,1634493903300.0
원익IPS,240810,2020-07-20,33300,49083901.0,1634493903300.0
원익IPS,240810,2020-07-21,33800,49083901.0,1659035853800.0
원익IPS,240810,2020-07-22,33550,49083901.0,1646764878550.0
원익IPS,240810,2020-07-23,34450,49083901.0,1690940389450.0
원익IPS,240810,2020-07-24,33850,49083901.0,1661490048850.0
원익IPS,240810,2020-07-27,34650,49083901.0,1700757169650.0
원익IPS,240810,2020-07-28,37700,49083901.0,1850463067700.0
원익IPS,240810,2020-07-29,38200,49083901.0,1875005018200.0
원익IPS,240810,2020-07-30,38400,49083901.0,1884821798400.0
원익IPS,240810,2020-07-31,38250,49083901.0,1877459213250.0
원익IPS,240810,2020-08-03,38000,49083901.0,1865188238000.0
원익IPS,240810,2020-08-04,38150,49083901.0,1872550823150.0
원익IPS,240810,2020-08-05,38550,49083901.0,1892184383550.0
원익IPS,240810,2020-08-06,37700,49083901.0,1850463067700.0
원익IPS,240810,2020-08-07,36700,49083901.0,1801379166700.0
원익IPS,240810,2020-08-10,36300,49083901.0,1781745606300.0
원익IPS,240810,2020-08-11,37250,49083901.0,1828375312250.0
원익IPS,240810,2020-08-12,36400,49083901.0,1786653996400.0
원익IPS,240810,2020-08-13,37000,49083901.0,1816104337000.0
원익IPS,240810,2020-08-14,36700,49083901.0,1801379166700.0
원익IPS,240810,2020-08-18,34650,49083901.0,1700757169650.0
원익IPS,240810,2020-08-19,35600,49083901.0,1747386875600.0
원익IPS,240810,2020-08-20,33250,49083901.0,1632039708250.0
원익IPS,240810,2020-08-21,33550,49083901.0,1646764878550.0
원익IPS,240810,2020-08-24,32950,49083901.0,1617314537950.0
원익IPS,240810,2020-08-25,33050,49083901.0,1622222928050.0
원익IPS,240810,2020-08-26,32600,49083901.0,1600135172600.0
원익IPS,240810,2020-08-27,31950,49083901.0,1568230636950.0
원익IPS,240810,2020-08-28,32200,49083901.0,1580501612200.0
원익IPS,240810,2020-08-31,32000,49083901.0,1570684832000.0
원익IPS,240810,2020-09-01,33800,49083901.0,1659035853800.0
원익IPS,240810,2020-09-02,33800,49083901.0,1659035853800.0
원익IPS,240810,2020-09-03,34000,49083901.0,1668852634000.0
원익IPS,240810,2020-09-04,33100,49083901.0,1624677123100.0
원익IPS,240810,2020-09-07,33450,49083901.0,1641856488450.0
원익IPS,240810,2020-09-08,33900,49083901.0,1663944243900.0
