name,ticker,year,quarter,period,period_end,revenue,operating_income,net_income,equity,operating_margin,fs_div
HD건설기계,267270,2023,4,2023Q4,2023-12-31,2171685368000.0,203377944000.0,94297244000.0,1771073331000.0,9.36498200875662,CFS
HD건설기계,267270,2024,1,2024Q1,2024-03-31,803585185000.0,53620608000.0,45812093000.0,1804703012000.0,6.67267254311066,CFS
HD건설기계,267270,2024,2,2024Q2,2024-06-30,-117307236000.0,4935967000.0,-15186237000.0,1809527554000.0,-4.207725941134612,CFS
HD건설기계,267270,2024,3,2024Q3,2024-09-30,-36027541000.0,-15566103000.0,-19176043000.0,1815224704000.0,43.20612111717533,CFS
HD건설기계,267270,2024,4,2024Q4,2024-12-31,2136986929000.0,147431142000.0,74516917000.0,1793830435000.0,6.899019362228397,CFS
HD건설기계,267270,2025,1,2025Q1,2025-03-31,728665749000.0,41650646000.0,25651621000.0,1828663656000.0,5.716015341349604,CFS
HD건설기계,267270,2025,2,2025Q2,2025-06-30,46586028000.0,-1607091000.0,-25030976000.0,1832123508000.0,-3.449727459057037,CFS
HD건설기계,267270,2025,3,2025Q3,2025-09-30,-13082234000.0,15770228000.0,41632261000.0,1903137478000.0,-120.5469035334485,CFS
HD건설기계,267270,2025,4,2025Q4,2025-12-31,2283598290000.0,115069223000.0,44781989000.0,1930295930000.0,5.038943298560624,CFS
HD건설기계,267270,2026,1,2026Q1,2026-03-31,1743652468000.0,190698553000.0,173870816000.0,4829780094000.0,10.936729451525085,CFS
파마리서치,214450,2017,1,2017Q1,2017-03-31,12445331004.0,5226059787.0,4542387814.0,171412934643.0,41.992131710440766,CFS
파마리서치,214450,2017,2,2017Q2,2017-06-30,255021460.0,-1400233867.0,-882373045.0,175283441143.0,-549.0651127948213,CFS
파마리서치,214450,2017,3,2017Q3,2017-09-30,-7886789135.0,1995300411.0,1569639094.0,183593051827.0,-25.29927422739444,CFS
파마리서치,214450,2017,4,2017Q4,2017-12-31,49656194562.0,9022465273.0,7287035495.0,182151577892.0,18.169868538223728,CFS
파마리서치,214450,2018,1,2018Q1,2018-03-31,14494405943.0,4546698382.0,4207934402.0,190451651991.0,31.368642494767474,CFS
파마리서치,214450,2018,2,2018Q2,2018-06-30,-14217425781.0,-2748959540.0,-3058382579.0,208593620689.0,19.335142538065345,CFS
파마리서치,214450,2018,3,2018Q3,2018-09-30,-13883146.0,-413930424.0,-881234599.0,209618591841.0,2981.5318804541853,CFS
파마리서치,214450,2018,4,2018Q4,2018-12-31,926435622.0,7320632477.0,10997044412.0,218873861012.0,790.1933284037733,CFS
파마리서치,214450,2019,1,2019Q1,2019-03-31,346080154.0,4907524581.0,4348415433.0,218860803591.0,1418.0312058575887,CFS
파마리서치,214450,2019,2,2019Q2,2019-06-30,-30973381.0,-761702782.0,-1308502347.0,223381492953.0,2459.2174228573886,CFS
파마리서치,214450,2019,3,2019Q3,2019-09-30,1598298.0,-519872396.0,161527457.0,225481156124.0,-32526.624947287677,CFS
파마리서치,214450,2019,4,2019Q4,2019-12-31,2175336598.0,15436411175.0,11649216960.0,228423566993.0,709.6102363740952,CFS
파마리서치,214450,2020,1,2020Q1,2020-03-31,601202000.0,4550512159.0,4169119863.0,232037669901.0,756.902365427926,CFS
파마리서치,214450,2020,2,2020Q2,2020-06-30,206023308.0,3497942589.0,5378087886.0,241599325699.0,1697.838280026064,CFS
파마리서치,214450,2020,3,2020Q3,2020-09-30,-274248097.0,1431187812.0,-2311862763.0,248801051225.0,-521.8587941560082,CFS
파마리서치,214450,2020,4,2020Q4,2020-12-31,108212944667.0,23946229385.0,25216877480.0,264411450697.0,22.12880303616995,CFS
파마리서치,214450,2021,1,2021Q1,2021-03-31,34537958087.0,12291981680.0,12339650393.0,281425028446.0,35.58977531050589,CFS
파마리서치,214450,2021,2,2021Q2,2021-06-30,4256430101.0,1620423790.0,-872762845.0,292984479698.0,38.07001998269159,CFS
파마리서치,214450,2021,3,2021Q3,2021-09-30,-91807753.0,-260953802.0,1820380337.0,306203906223.0,284.2393953373415,CFS
파마리서치,214450,2021,4,2021Q4,2021-12-31,115380317459.0,38837444369.0,33401387825.0,328358725431.0,33.66037225785997,CFS
파마리서치,214450,2022,1,2022Q1,2022-03-31,45268535452.0,15234682035.0,9315936795.0,330738835736.0,33.65402013315392,CFS
파마리서치,214450,2022,2,2022Q2,2022-06-30,4431772423.0,2157167227.0,463800298.0,340043550727.0,48.6750451310347,CFS
파마리서치,214450,2022,3,2022Q3,2022-09-30,-3525640312.0,-873206945.0,6830166268.0,359238539406.0,24.767329271449515,CFS
